Partido,Localidad,link Indec,Velocidad (Mbps),Provincia,Accesos,Velocidad (Mbps) ajustada
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,0.0,1.0,6.8541
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,0.5,2.0,6.8541
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,0.75,19.0,6.8541
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,3.0,85.0,6.8541
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,3.5,145.0,6.8541
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,6.0,76.0,6.8541
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,8.0,299.0,6.8541
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,10.0,288.0,6.8541
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,15.0,415.0,6.8541
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,20.0,1796.0,6.8541
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,25.0,144.0,6.8541
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,30.0,1501.0,6.8541
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,40.0,27.0,6.8541
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,50.0,647.0,6.8541
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,80.0,9.0,6.8541
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,100.0,693.0,6.8541
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,300.0,95.0,6.8541
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,500.0,3.0,6.8541
BUENOS AIRES,25 de Mayo,Agustín Mosconi,6854010.0,10.0,59.0,6.85401
BUENOS AIRES,25 de Mayo,Agustín Mosconi,6854010.0,20.0,5.0,6.85401
BUENOS AIRES,25 de Mayo,Del Valle,6854020.0,0.5,1.0,6.85402
BUENOS AIRES,25 de Mayo,Del Valle,6854020.0,3.0,181.0,6.85402
BUENOS AIRES,25 de Mayo,Del Valle,6854020.0,10.0,10.0,6.85402
BUENOS AIRES,25 de Mayo,Ernestina,6854030.0,5.0,75.0,6.85403
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040.0,2.0,106.0,6.85404
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040.0,3.0,3.0,6.85404
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040.0,4.0,56.0,6.85404
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040.0,5.0,7.0,6.85404
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040.0,6.0,3.0,6.85404
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040.0,8.0,4.0,6.85404
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040.0,10.0,1.0,6.85404
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040.0,65.0,1.0,6.85404
BUENOS AIRES,25 de Mayo,Lucas Monteverde,6854050.0,3.0,5.0,6.85405
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060.0,2.0,174.0,6.85406
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060.0,3.0,32.0,6.85406
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060.0,4.0,9.0,6.85406
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060.0,5.0,8.0,6.85406
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060.0,6.0,914.0,6.85406
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060.0,10.0,2.0,6.85406
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060.0,15.0,322.0,6.85406
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060.0,25.0,29.0,6.85406
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060.0,50.0,20.0,6.85406
BUENOS AIRES,25 de Mayo,Pedernales,6854070.0,6.0,2.0,6.85407
BUENOS AIRES,25 de Mayo,Pedernales,6854070.0,10.0,177.0,6.85407
BUENOS AIRES,25 de Mayo,Pedernales,6854070.0,15.0,3.0,6.85407
BUENOS AIRES,25 de Mayo,Pedernales,6854070.0,50.0,25.0,6.85407
BUENOS AIRES,25 de Mayo,San Enrique,6854080.0,20.0,11.0,6.85408
BUENOS AIRES,25 de Mayo,Valdés,6854090.0,10.0,245.0,6.85409
BUENOS AIRES,25 de Mayo,Valdés,6854090.0,20.0,18.0,6.85409
BUENOS AIRES,9 de Julio,12 de Octubre,6588030.0,3.0,11.0,6.58803
BUENOS AIRES,9 de Julio,9 de Julio,6588100.0,0.75,9.0,6.5881
BUENOS AIRES,9 de Julio,9 de Julio,6588100.0,3.0,198.0,6.5881
BUENOS AIRES,9 de Julio,9 de Julio,6588100.0,3.5,114.0,6.5881
BUENOS AIRES,9 de Julio,9 de Julio,6588100.0,5.0,154.0,6.5881
BUENOS AIRES,9 de Julio,9 de Julio,6588100.0,6.0,4824.0,6.5881
BUENOS AIRES,9 de Julio,9 de Julio,6588100.0,7.0,235.0,6.5881
BUENOS AIRES,9 de Julio,9 de Julio,6588100.0,8.0,98.0,6.5881
BUENOS AIRES,9 de Julio,9 de Julio,6588100.0,10.0,2669.0,6.5881
BUENOS AIRES,9 de Julio,9 de Julio,6588100.0,15.0,1239.0,6.5881
BUENOS AIRES,9 de Julio,9 de Julio,6588100.0,20.0,1144.0,6.5881
BUENOS AIRES,9 de Julio,9 de Julio,6588100.0,30.0,362.0,6.5881
BUENOS AIRES,9 de Julio,9 de Julio,6588100.0,50.0,631.0,6.5881
BUENOS AIRES,9 de Julio,9 de Julio,6588100.0,100.0,1843.0,6.5881
BUENOS AIRES,9 de Julio,9 de Julio,6588100.0,300.0,1068.0,6.5881
BUENOS AIRES,9 de Julio,9 de Julio,6588100.0,500.0,33.0,6.5881
BUENOS AIRES,9 de Julio,9 de Julio,6588100.0,1000.0,14.0,6.5881
BUENOS AIRES,9 de Julio,Alfredo Demarchi  (Est. Facundo Quiroga),6588010.0,3.0,510.0,6.58801
BUENOS AIRES,9 de Julio,Dudignac,6588040.0,1.0,8.0,6.58804
BUENOS AIRES,9 de Julio,Dudignac,6588040.0,3.0,36.0,6.58804
BUENOS AIRES,9 de Julio,Dudignac,6588040.0,4.0,247.0,6.58804
BUENOS AIRES,9 de Julio,Dudignac,6588040.0,6.0,46.0,6.58804
BUENOS AIRES,9 de Julio,Dudignac,6588040.0,10.0,52.0,6.58804
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),6588060.0,1.0,1.0,6.58806
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),6588060.0,2.0,193.0,6.58806
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),6588060.0,6.0,1.0,6.58806
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),6588060.0,10.0,2.0,6.58806
BUENOS AIRES,9 de Julio,Morea,6588080.0,3.0,130.0,6.58808
BUENOS AIRES,9 de Julio,Patricios,6588110.0,3.0,50.0,6.58811
BUENOS AIRES,9 de Julio,Patricios,6588110.0,6.0,16.0,6.58811
BUENOS AIRES,9 de Julio,Patricios,6588110.0,10.0,44.0,6.58811
BUENOS AIRES,9 de Julio,Patricios,6588110.0,15.0,21.0,6.58811
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120.0,3.0,42.0,6.58812
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120.0,6.0,6.0,6.58812
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120.0,10.0,37.0,6.58812
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120.0,15.0,29.0,6.58812
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120.0,20.0,32.0,6.58812
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120.0,30.0,11.0,6.58812
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120.0,50.0,3.0,6.58812
BUENOS AIRES,Adolfo Alsina,Carhué,6007010.0,3.0,763.0,6.00701
BUENOS AIRES,Adolfo Alsina,Carhué,6007010.0,3.5,20.0,6.00701
BUENOS AIRES,Adolfo Alsina,Carhué,6007010.0,7.0,103.0,6.00701
BUENOS AIRES,Adolfo Alsina,Carhué,6007010.0,8.0,36.0,6.00701
BUENOS AIRES,Adolfo Alsina,Carhué,6007010.0,15.0,1231.0,6.00701
BUENOS AIRES,Adolfo Alsina,Carhué,6007010.0,30.0,1.0,6.00701
BUENOS AIRES,Adolfo Alsina,Carhué,6007010.0,31.0,266.0,6.00701
BUENOS AIRES,Adolfo Alsina,Carhué,6007010.0,50.0,820.0,6.00701
BUENOS AIRES,Adolfo Alsina,Carhué,6007010.0,61.0,31.0,6.00701
BUENOS AIRES,Adolfo Alsina,Carhué,6007010.0,100.0,2.0,6.00701
BUENOS AIRES,Adolfo Alsina,Colonia San Miguel Arcángel,6007020.0,3.0,208.0,6.00702
BUENOS AIRES,Adolfo Alsina,Esteban Agustín Gascón,6007050.0,3.0,60.0,6.00705
BUENOS AIRES,Adolfo Alsina,Maza,6007070.0,0.0,10.0,6.00707
BUENOS AIRES,Adolfo Alsina,Maza,6007070.0,0.5,2.0,6.00707
BUENOS AIRES,Adolfo Alsina,Maza,6007070.0,5.0,386.0,6.00707
BUENOS AIRES,Adolfo Alsina,Maza,6007070.0,10.0,6.0,6.00707
BUENOS AIRES,Adolfo Alsina,Maza,6007070.0,20.0,2.0,6.00707
BUENOS AIRES,Adolfo Alsina,Rivera,6007080.0,20.0,1252.0,6.00708
BUENOS AIRES,Adolfo Alsina,Rivera,6007080.0,35.0,26.0,6.00708
BUENOS AIRES,Adolfo Alsina,Rivera,6007080.0,50.0,31.0,6.00708
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010.0,0.75,3.0,6.01401
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010.0,3.5,147.0,6.01401
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010.0,8.0,447.0,6.01401
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010.0,10.0,122.0,6.01401
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010.0,12.0,1.0,6.01401
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010.0,15.0,1422.0,6.01401
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010.0,30.0,44.0,6.01401
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010.0,50.0,1.0,6.01401
BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,6014020.0,4.0,632.0,6.01402
BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,6014020.0,7.0,7.0,6.01402
BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,6014020.0,8.0,28.0,6.01402
BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,6014020.0,10.0,45.0,6.01402
BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,6014020.0,15.0,5.0,6.01402
BUENOS AIRES,Adolfo Gonzales Chaves,Juan E. Barra,6014030.0,4.0,46.0,6.01403
BUENOS AIRES,Adolfo Gonzales Chaves,Vásquez,6014040.0,3.0,12.0,6.01404
BUENOS AIRES,Adolfo Gonzales Chaves,Vásquez,6014040.0,4.0,2.0,6.01404
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010.0,0.75,2.0,6.02101
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010.0,2.0,1.0,6.02101
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010.0,3.5,40.0,6.02101
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010.0,5.0,1.0,6.02101
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010.0,8.0,116.0,6.02101
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010.0,15.0,302.0,6.02101
BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010.0,100.0,1.0,6.02101
BUENOS AIRES,Alberti,Coronel Seguí,6021020.0,15.0,5.0,6.02102
BUENOS AIRES,Alberti,Mechita,6021030.0,3.0,275.0,6.02103
BUENOS AIRES,Alberti,Mechita,6021030.0,5.0,10.0,6.02103
BUENOS AIRES,Alberti,Villa Ortiz  (Est. Coronel Mom),6021070.0,15.0,24.0,6.02107
BUENOS AIRES,Almirante Brown,Adrogué,6028010.0,0.0,1.0,6.02801
BUENOS AIRES,Almirante Brown,Adrogué,6028010.0,0.256,1.0,6.02801
BUENOS AIRES,Almirante Brown,Adrogué,6028010.0,0.5,10.0,6.02801
BUENOS AIRES,Almirante Brown,Adrogué,6028010.0,0.512,1.0,6.02801
BUENOS AIRES,Almirante Brown,Adrogué,6028010.0,0.75,34.0,6.02801
BUENOS AIRES,Almirante Brown,Adrogué,6028010.0,1.0,21.0,6.02801
BUENOS AIRES,Almirante Brown,Adrogué,6028010.0,2.0,8.0,6.02801
BUENOS AIRES,Almirante Brown,Adrogué,6028010.0,3.5,63.0,6.02801
BUENOS AIRES,Almirante Brown,Adrogué,6028010.0,4.0,7.0,6.02801
BUENOS AIRES,Almirante Brown,Adrogué,6028010.0,5.0,5.0,6.02801
BUENOS AIRES,Almirante Brown,Adrogué,6028010.0,6.0,12.0,6.02801
BUENOS AIRES,Almirante Brown,Adrogué,6028010.0,8.0,37.0,6.02801
BUENOS AIRES,Almirante Brown,Adrogué,6028010.0,10.0,170.0,6.02801
BUENOS AIRES,Almirante Brown,Adrogué,6028010.0,15.0,112.0,6.02801
BUENOS AIRES,Almirante Brown,Adrogué,6028010.0,20.0,1.0,6.02801
BUENOS AIRES,Almirante Brown,Adrogué,6028010.0,25.0,3.0,6.02801
BUENOS AIRES,Almirante Brown,Adrogué,6028010.0,30.0,11550.0,6.02801
BUENOS AIRES,Almirante Brown,Adrogué,6028010.0,50.0,509.0,6.02801
BUENOS AIRES,Almirante Brown,Adrogué,6028010.0,60.0,37.0,6.02801
BUENOS AIRES,Almirante Brown,Adrogué,6028010.0,75.0,9.0,6.02801
BUENOS AIRES,Almirante Brown,Adrogué,6028010.0,100.0,2727.0,6.02801
BUENOS AIRES,Almirante Brown,Adrogué,6028010.0,150.0,944.0,6.02801
BUENOS AIRES,Almirante Brown,Adrogué,6028010.0,200.0,1.0,6.02801
BUENOS AIRES,Almirante Brown,Adrogué,6028010.0,300.0,3966.0,6.02801
BUENOS AIRES,Almirante Brown,Adrogué,6028010.0,500.0,504.0,6.02801
BUENOS AIRES,Almirante Brown,Adrogué,6028010.0,1000.0,365.0,6.02801
BUENOS AIRES,Almirante Brown,Burzaco,6028010.0,0.0,52.0,6.02801
BUENOS AIRES,Almirante Brown,Burzaco,6028010.0,0.256,1.0,6.02801
BUENOS AIRES,Almirante Brown,Burzaco,6028010.0,0.5,9.0,6.02801
BUENOS AIRES,Almirante Brown,Burzaco,6028010.0,0.512,1.0,6.02801
BUENOS AIRES,Almirante Brown,Burzaco,6028010.0,0.75,23.0,6.02801
BUENOS AIRES,Almirante Brown,Burzaco,6028010.0,1.0,15.0,6.02801
BUENOS AIRES,Almirante Brown,Burzaco,6028010.0,2.0,78.0,6.02801
BUENOS AIRES,Almirante Brown,Burzaco,6028010.0,3.0,14.0,6.02801
BUENOS AIRES,Almirante Brown,Burzaco,6028010.0,3.5,34.0,6.02801
BUENOS AIRES,Almirante Brown,Burzaco,6028010.0,4.0,115.0,6.02801
BUENOS AIRES,Almirante Brown,Burzaco,6028010.0,5.0,14.0,6.02801
BUENOS AIRES,Almirante Brown,Burzaco,6028010.0,6.0,82.0,6.02801
BUENOS AIRES,Almirante Brown,Burzaco,6028010.0,8.0,30.0,6.02801
BUENOS AIRES,Almirante Brown,Burzaco,6028010.0,10.0,393.0,6.02801
BUENOS AIRES,Almirante Brown,Burzaco,6028010.0,15.0,60.0,6.02801
BUENOS AIRES,Almirante Brown,Burzaco,6028010.0,20.0,2.0,6.02801
BUENOS AIRES,Almirante Brown,Burzaco,6028010.0,25.0,2.0,6.02801
BUENOS AIRES,Almirante Brown,Burzaco,6028010.0,30.0,11384.0,6.02801
BUENOS AIRES,Almirante Brown,Burzaco,6028010.0,50.0,382.0,6.02801
BUENOS AIRES,Almirante Brown,Burzaco,6028010.0,60.0,186.0,6.02801
BUENOS AIRES,Almirante Brown,Burzaco,6028010.0,75.0,15.0,6.02801
BUENOS AIRES,Almirante Brown,Burzaco,6028010.0,100.0,2084.0,6.02801
BUENOS AIRES,Almirante Brown,Burzaco,6028010.0,150.0,3756.0,6.02801
BUENOS AIRES,Almirante Brown,Burzaco,6028010.0,200.0,5.0,6.02801
BUENOS AIRES,Almirante Brown,Burzaco,6028010.0,300.0,7154.0,6.02801
BUENOS AIRES,Almirante Brown,Burzaco,6028010.0,500.0,959.0,6.02801
BUENOS AIRES,Almirante Brown,Burzaco,6028010.0,1000.0,1017.0,6.02801
BUENOS AIRES,Almirante Brown,Claypole,6028010.0,0.0,1.0,6.02801
BUENOS AIRES,Almirante Brown,Claypole,6028010.0,0.75,2.0,6.02801
BUENOS AIRES,Almirante Brown,Claypole,6028010.0,1.0,6.0,6.02801
BUENOS AIRES,Almirante Brown,Claypole,6028010.0,3.0,2.0,6.02801
BUENOS AIRES,Almirante Brown,Claypole,6028010.0,3.5,3.0,6.02801
BUENOS AIRES,Almirante Brown,Claypole,6028010.0,5.0,3.0,6.02801
BUENOS AIRES,Almirante Brown,Claypole,6028010.0,6.0,5.0,6.02801
BUENOS AIRES,Almirante Brown,Claypole,6028010.0,10.0,149.0,6.02801
BUENOS AIRES,Almirante Brown,Claypole,6028010.0,30.0,4108.0,6.02801
BUENOS AIRES,Almirante Brown,Claypole,6028010.0,50.0,117.0,6.02801
BUENOS AIRES,Almirante Brown,Claypole,6028010.0,60.0,64.0,6.02801
BUENOS AIRES,Almirante Brown,Claypole,6028010.0,75.0,5.0,6.02801
BUENOS AIRES,Almirante Brown,Claypole,6028010.0,100.0,696.0,6.02801
BUENOS AIRES,Almirante Brown,Claypole,6028010.0,150.0,1809.0,6.02801
BUENOS AIRES,Almirante Brown,Claypole,6028010.0,300.0,3538.0,6.02801
BUENOS AIRES,Almirante Brown,Claypole,6028010.0,500.0,497.0,6.02801
BUENOS AIRES,Almirante Brown,Claypole,6028010.0,1000.0,503.0,6.02801
BUENOS AIRES,Almirante Brown,Don Orione,6028010.0,5.0,2.0,6.02801
BUENOS AIRES,Almirante Brown,Don Orione,6028010.0,10.0,128.0,6.02801
BUENOS AIRES,Almirante Brown,Don Orione,6028010.0,15.0,42.0,6.02801
BUENOS AIRES,Almirante Brown,Don Orione,6028010.0,30.0,1.0,6.02801
BUENOS AIRES,Almirante Brown,Don Orione,6028010.0,50.0,12.0,6.02801
BUENOS AIRES,Almirante Brown,Don Orione,6028010.0,60.0,91.0,6.02801
BUENOS AIRES,Almirante Brown,Don Orione,6028010.0,75.0,2.0,6.02801
BUENOS AIRES,Almirante Brown,Don Orione,6028010.0,100.0,36.0,6.02801
BUENOS AIRES,Almirante Brown,Don Orione,6028010.0,150.0,1776.0,6.02801
BUENOS AIRES,Almirante Brown,Don Orione,6028010.0,300.0,2535.0,6.02801
BUENOS AIRES,Almirante Brown,Don Orione,6028010.0,500.0,370.0,6.02801
BUENOS AIRES,Almirante Brown,Don Orione,6028010.0,1000.0,439.0,6.02801
BUENOS AIRES,Almirante Brown,Glew,6028010.0,0.0,1.0,6.02801
BUENOS AIRES,Almirante Brown,Glew,6028010.0,0.5,5.0,6.02801
BUENOS AIRES,Almirante Brown,Glew,6028010.0,0.75,7.0,6.02801
BUENOS AIRES,Almirante Brown,Glew,6028010.0,1.0,4.0,6.02801
BUENOS AIRES,Almirante Brown,Glew,6028010.0,2.0,15.0,6.02801
BUENOS AIRES,Almirante Brown,Glew,6028010.0,3.0,5.0,6.02801
BUENOS AIRES,Almirante Brown,Glew,6028010.0,3.5,27.0,6.02801
BUENOS AIRES,Almirante Brown,Glew,6028010.0,4.0,29.0,6.02801
BUENOS AIRES,Almirante Brown,Glew,6028010.0,5.0,8.0,6.02801
BUENOS AIRES,Almirante Brown,Glew,6028010.0,6.0,12.0,6.02801
BUENOS AIRES,Almirante Brown,Glew,6028010.0,8.0,16.0,6.02801
BUENOS AIRES,Almirante Brown,Glew,6028010.0,10.0,138.0,6.02801
BUENOS AIRES,Almirante Brown,Glew,6028010.0,15.0,8.0,6.02801
BUENOS AIRES,Almirante Brown,Glew,6028010.0,25.0,27.0,6.02801
BUENOS AIRES,Almirante Brown,Glew,6028010.0,30.0,11735.0,6.02801
BUENOS AIRES,Almirante Brown,Glew,6028010.0,50.0,134.0,6.02801
BUENOS AIRES,Almirante Brown,Glew,6028010.0,60.0,81.0,6.02801
BUENOS AIRES,Almirante Brown,Glew,6028010.0,75.0,2.0,6.02801
BUENOS AIRES,Almirante Brown,Glew,6028010.0,100.0,676.0,6.02801
BUENOS AIRES,Almirante Brown,Glew,6028010.0,150.0,2725.0,6.02801
BUENOS AIRES,Almirante Brown,Glew,6028010.0,300.0,3834.0,6.02801
BUENOS AIRES,Almirante Brown,Glew,6028010.0,500.0,499.0,6.02801
BUENOS AIRES,Almirante Brown,Glew,6028010.0,1000.0,699.0,6.02801
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010.0,1.0,1.0,6.02801
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010.0,3.5,2.0,6.02801
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010.0,5.0,2.0,6.02801
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010.0,6.0,1.0,6.02801
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010.0,8.0,3.0,6.02801
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010.0,10.0,156.0,6.02801
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010.0,25.0,2.0,6.02801
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010.0,30.0,1381.0,6.02801
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010.0,50.0,166.0,6.02801
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010.0,60.0,58.0,6.02801
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010.0,75.0,6.0,6.02801
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010.0,100.0,1250.0,6.02801
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010.0,150.0,1310.0,6.02801
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010.0,300.0,3416.0,6.02801
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010.0,500.0,429.0,6.02801
BUENOS AIRES,Almirante Brown,Jose Mármol,6028010.0,1000.0,447.0,6.02801
BUENOS AIRES,Almirante Brown,Longchamps,6028010.0,0.0,1.0,6.02801
BUENOS AIRES,Almirante Brown,Longchamps,6028010.0,0.5,1.0,6.02801
BUENOS AIRES,Almirante Brown,Longchamps,6028010.0,0.75,3.0,6.02801
BUENOS AIRES,Almirante Brown,Longchamps,6028010.0,3.0,3.0,6.02801
BUENOS AIRES,Almirante Brown,Longchamps,6028010.0,3.5,21.0,6.02801
BUENOS AIRES,Almirante Brown,Longchamps,6028010.0,5.0,8.0,6.02801
BUENOS AIRES,Almirante Brown,Longchamps,6028010.0,6.0,1.0,6.02801
BUENOS AIRES,Almirante Brown,Longchamps,6028010.0,8.0,4.0,6.02801
BUENOS AIRES,Almirante Brown,Longchamps,6028010.0,10.0,231.0,6.02801
BUENOS AIRES,Almirante Brown,Longchamps,6028010.0,15.0,5.0,6.02801
BUENOS AIRES,Almirante Brown,Longchamps,6028010.0,30.0,7428.0,6.02801
BUENOS AIRES,Almirante Brown,Longchamps,6028010.0,50.0,198.0,6.02801
BUENOS AIRES,Almirante Brown,Longchamps,6028010.0,60.0,88.0,6.02801
BUENOS AIRES,Almirante Brown,Longchamps,6028010.0,75.0,7.0,6.02801
BUENOS AIRES,Almirante Brown,Longchamps,6028010.0,100.0,1226.0,6.02801
BUENOS AIRES,Almirante Brown,Longchamps,6028010.0,150.0,2212.0,6.02801
BUENOS AIRES,Almirante Brown,Longchamps,6028010.0,300.0,3887.0,6.02801
BUENOS AIRES,Almirante Brown,Longchamps,6028010.0,500.0,569.0,6.02801
BUENOS AIRES,Almirante Brown,Longchamps,6028010.0,1000.0,512.0,6.02801
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010.0,0.0,1.0,6.02801
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010.0,1.0,3.0,6.02801
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010.0,5.0,3.0,6.02801
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010.0,6.0,1.0,6.02801
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010.0,10.0,47.0,6.02801
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010.0,20.0,2.0,6.02801
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010.0,30.0,4.0,6.02801
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010.0,50.0,69.0,6.02801
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010.0,60.0,37.0,6.02801
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010.0,75.0,3.0,6.02801
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010.0,100.0,424.0,6.02801
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010.0,150.0,1066.0,6.02801
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010.0,300.0,2191.0,6.02801
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010.0,500.0,331.0,6.02801
BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010.0,1000.0,331.0,6.02801
BUENOS AIRES,Almirante Brown,Ministro Rivadavia,6028010.0,3.5,2.0,6.02801
BUENOS AIRES,Almirante Brown,Ministro Rivadavia,6028010.0,5.0,1.0,6.02801
BUENOS AIRES,Almirante Brown,Ministro Rivadavia,6028010.0,10.0,96.0,6.02801
BUENOS AIRES,Almirante Brown,Ministro Rivadavia,6028010.0,30.0,4093.0,6.02801
BUENOS AIRES,Almirante Brown,Ministro Rivadavia,6028010.0,50.0,18.0,6.02801
BUENOS AIRES,Almirante Brown,Ministro Rivadavia,6028010.0,60.0,47.0,6.02801
BUENOS AIRES,Almirante Brown,Ministro Rivadavia,6028010.0,75.0,4.0,6.02801
BUENOS AIRES,Almirante Brown,Ministro Rivadavia,6028010.0,100.0,124.0,6.02801
BUENOS AIRES,Almirante Brown,Ministro Rivadavia,6028010.0,150.0,1024.0,6.02801
BUENOS AIRES,Almirante Brown,Ministro Rivadavia,6028010.0,300.0,1716.0,6.02801
BUENOS AIRES,Almirante Brown,Ministro Rivadavia,6028010.0,500.0,282.0,6.02801
BUENOS AIRES,Almirante Brown,Ministro Rivadavia,6028010.0,1000.0,234.0,6.02801
BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010.0,0.0,1.0,6.02801
BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010.0,0.5,3.0,6.02801
